93,P,LH,31,1,91.443,0.03913,3.5782,80.7,84.3,87.9,91.4,95,98.6,102.2,2025-05-31 00:00:00,2025-06-01 00:00:00
94,P,LH,32,1,92.1906,0.03933,3.6259,81.3,84.9,88.6,92.2,95.8,99.4,103.1,2025-05-31 00:00:00,2025-06-01 00:00:00
95,P,LH,33,1,92.9239,0.03952,3.6724,81.9,85.6,89.3,92.9,96.6,100.3,103.9,2025-05-31 00:00:00,2025-06-01 00:00:00
96,P,LH,34,1,93.6444,0.03971,3.7186,82.5,86.2,89.9,93.6,97.4,101.1,104.8,2025-05-31 00:00:00,2025-06-01 00:00:00
97,P,LH,35,1,94.3533,0.03989,3.7638,83.1,86.8,90.6,94.4,98.1,101.9,105.6,2025-05-31 00:00:00,2025-06-01 00:00:00
98,P,LH,36,1,95.0515,0.04006,3.8078,83.6,87.4,91.2,95.1,98.9,102.7,106.5,2025-05-31 00:00:00,2025-06-01 00:00:00
99,P,LH,37,1,95.7399,0.04024,3.8526,84.2,88,91.9,95.7,99.6,103.4,107.3,2025-05-31 00:00:00,2025-06-01 00:00:00
100,P,LH,38,1,96.4187,0.04041,3.8963,84.7,88.6,92.5,96.4,100.3,104.2,108.1,2025-05-31 00:00:00,2025-06-01 00:00:00
101,P,LH,39,1,97.0885,0.04057,3.9389,85.3,89.2,93.1,97.1,101,105,108.9,2025-05-31 00:00:00,2025-06-01 00:00:00
102,P,LH,40,1,97.7493,0.04073,3.9813,85.8,89.8,93.8,97.7,101.7,105.7,109.7,2025-05-31 00:00:00,2025-06-01 00:00:00
103,P,LH,41,1,98.4015,0.04089,4.0236,86.3,90.4,94.4,98.4,102.4,106.4,110.5,2025-05-31 00:00:00,2025-06-01 00:00:00
104,P,LH,42,1,99.0448,0.04105,4.0658,86.8,90.9,95,99,103.1,107.2,111.2,2025-05-31 00:00:00,2025-06-01 00:00:00
105,P,LH,43,1,99.6795,0.0412,4.1068,87.4,91.5,95.6,99.7,103.8,107.9,112,2025-05-31 00:00:00,2025-06-01 00:00:00
106,P,LH,44,1,100.3058,0.04135,4.1476,87.9,92,96.2,100.3,104.5,108.6,112.7,2025-05-31 00:00:00,2025-06-01 00:00:00
107,P,LH,45,1,100.9238,0.0415,4.1883,88.4,92.5,96.7,100.9,105.1,109.3,113.5,2025-05-31 00:00:00,2025-06-01 00:00:00
108,P,LH,46,1,101.5337,0.04164,4.2279,88.9,93.1,97.3,101.5,105.8,110,114.2,2025-05-31 00:00:00,2025-06-01 00:00:00
109,P,LH,47,1,102.136,0.04179,4.2683,89.3,93.6,97.9,102.1,106.4,110.7,114.9,2025-05-31 00:00:00,2025-06-01 00:00:00
110,P,LH,48,1,102.7312,0.04193,4.3075,89.8,94.1,98.4,102.7,107,111.3,115.7,2025-05-31 00:00:00,2025-06-01 00:00:00
111,P,LH,49,1,103.3197,0.04206,4.3456,90.3,94.6,99,103.3,107.7,112,116.4,2025-05-31 00:00:00,2025-06-01 00:00:00
112,P,LH,50,1,103.9021,0.0422,4.3847,90.7,95.1,99.5,103.9,108.3,112.7,117.1,2025-05-31 00:00:00,2025-06-01 00:00:00
113,P,LH,51,1,104.4786,0.04233,4.4226,91.2,95.6,100.1,104.5,108.9,113.3,117.7,2025-05-31 00:00:00,2025-06-01 00:00:00
